Value,Disaggregation combinations using this value,Number of indicators
First Nations (North American Indian),48,1
First Nations,15,2
Indigenous identity,72,2
Indigenous person,1,1
Inuk (Inuit),20,1
Inuk,1,1
Multiple Indigenous identities or specific group not stated,1,1
Métis,59,3
Non-Indigenous identity,72,2
Non-indigenous identity,124,1
Non-Indigenous person,1,1
"Not stated, population by indigenous identity",19,1
Other Indigenous identity,2,1
Single Indigenous identity,30,1
"Total, by Indigenous identity",20,1
Total,41,1
